GENEID	X104	X112	X118	X122	X128	X137	X168	X175	X189	X191
Arf4	1.00012209018435	1.00012209018435	1.00012209018435	0	8.00782268745052	2.00048844025395	5.00305424361532	0	3.00109916954915	2.00048844025395
Arhgap24	1.00012209018435	0	6.00439882750478	0	1.00012209018435	2.00048844025395	1.00012209018435	0	1.00012209018435	0
Arhgap25	0	0	0	5.00305424361532	0	0	0	0	0	0
Arhgdia	0	1.00012209018435	6.00439882750478	3.00109916954915	1.00012209018435	2.00048844025395	2.00048844025395	0	0	0
Arhgdib	0	0	1.00012209018435	5.00305424361532	0	0	0	1.00012209018435	0	0
Arid1a	5.00305424361532	1.00012209018435	0	3.00109916954915	0	1.00012209018435	2.00048844025395	0	0	0
Arid5b	0	0	0	0	5.00305424361532	2.00048844025395	2.00048844025395	0	0	3.00109916954915
Arpc1a	0	0	6.00439882750478	0	1.00012209018435	1.00012209018435	1.00012209018435	0	1.00012209018435	0
Arpc1b	5.00305424361532	5.00305424361532	12.0176125328898	6.00439882750478	2.00048844025395	0	3.00109916954915	2.00048844025395	2.00048844025395	2.00048844025395
Arpc2	0	1.00012209018435	7.00598826885697	5.00305424361532	2.00048844025395	7.00598826885697	3.00109916954915	3.00109916954915	3.00109916954915	2.00048844025395
Arpc5	2.00048844025395	0	6.00439882750478	7.00598826885697	2.00048844025395	1.00012209018435	5.00305424361532	0	0	0
Asap1	0	0	0	0	5.00305424361532	1.00012209018435	0	0	0	0
Atf3	6.00439882750478	5.00305424361532	0	0	7.00598826885697	4.00195439749781	0	0	0	0
Atf5	1.00012209018435	0	3.00109916954915	0	6.00439882750478	2.00048844025395	0	0	0	1.00012209018435
Atp1a2	2.00048844025395	3.00109916954915	13.0206736374495	0	2.00048844025395	2.00048844025395	12.0176125328898	0	0	0
Atp1b1	0	5.00305424361532	0	2.00048844025395	0	0	2.00048844025395	0	3.00109916954915	0
Atp5a1	3.00109916954915	1.00012209018435	9.00990220315199	0	4.00195439749781	4.00195439749781	0	0	2.00048844025395	3.00109916954915
Atp5b	4.00195439749781	1.00012209018435	12.0176125328898	1.00012209018435	5.00305424361532	4.00195439749781	4.00195439749781	1.00012209018435	4.00195439749781	1.00012209018435
Atp5c1	1.00012209018435	2.00048844025395	1.00012209018435	2.00048844025395	1.00012209018435	2.00048844025395	5.00305424361532	1.00012209018435	1.00012209018435	0
Atp5g3	4.00195439749781	1.00012209018435	7.00598826885697	2.00048844025395	1.00012209018435	1.00012209018435	2.00048844025395	0	4.00195439749781	4.00195439749781
Atp5j	2.00048844025395	1.00012209018435	6.00439882750478	0	0	1.00012209018435	0	0	1.00012209018435	2.00048844025395
Atp6v0d1	5.00305424361532	0	3.00109916954915	0	0	0	1.00012209018435	0	0	0
