GENEID	X1	X3	X4	X5	X6	X7	X8	X10	X11	X13	X15	X16	X17	X19	X20	X21	X22	X23	X24	X25	X26	X27	X28	X29	X30	X31	X32	X35	X36	X37	X38	X39	X40	X41	X43	X44	X45	X46	X47	X48	X50	X51	X52	X53	X54	X55	X57	X58	X59	X60	X61	X62	X63	X64	X65	X66	X67	X68	X69	X70	X71	X72	X73	X75	X76	X77	X78	X79	X80	X81	X82	X83	X84	X85	X86	X88	X90	X92	X93	X95
Adamts1	4.00195439749781	0	0	0	0	0	1.00012209018435	0	5.00305424361532	0	1.00012209018435	0	0	0	9.00990220315199	0	1.00012209018435	1.00012209018435	0	0	4.00195439749781	6.00439882750478	2.00048844025395	1.00012209018435	0	0	0	0	2.00048844025395	0	0	0	0	0	0	10.0122269359159	6.00439882750478	0	0	1.00012209018435	4.00195439749781	0	0	0	7.00598826885697	13.0206736374495	0	1.00012209018435	0	0	0	0	0	7.00598826885697	1.00012209018435	0	8.00782268745052	3.00109916954915	1.00012209018435	18.0396670359275	2.00048844025395	13.0206736374495	1.00012209018435	0	0	0	0	0	10.0122269359159	0	1.00012209018435	0	5.00305424361532	0	0	0	0	14.0239804397716	0	0
Adamts10	0	1.00012209018435	1.00012209018435	0	0	2.00048844025395	0	0	5.00305424361532	1.00012209018435	1.00012209018435	0	0	0	2.00048844025395	0	0	3.00109916954915	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	1.00012209018435	0	1.00012209018435	0	0	0	2.00048844025395	0	0	0	0	0	0	0	1.00012209018435	0	0	0	1.00012209018435	1.00012209018435	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	1.00012209018435	1.00012209018435	0	0	0	0
Adamts5	0	1.00012209018435	0	0	0	1.00012209018435	0	0	1.00012209018435	0	2.00048844025395	0	0	0	2.00048844025395	0	0	1.00012209018435	0	0	2.00048844025395	2.00048844025395	6.00439882750478	1.00012209018435	0	0	0	0	0	0	0	0	0	0	8.00782268745052	0	0	0	0	0	0	0	0	0	2.00048844025395	0	0	0	0	0	0	0	1.00012209018435	0	0	0	1.00012209018435	0	1.00012209018435	0	0	0	8.00782268745052	3.00109916954915	0	1.00012209018435	0	1.00012209018435	0	0	2.00048844025395	0	0	0	0	5.00305424361532	0	0	0	0
Adap2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	2.00048844025395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	6.00439882750478	0	0
Adcyap1r1	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	2.00048844025395	0	0	0	0	0	0	0	2.00048844025395	0	0	0	0	0	0	0	0	0	0	3.00109916954915	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	1.00012209018435	1.00012209018435	0	0	0	1.00012209018435	0	1.00012209018435	0	1.00012209018435	0	0	1.00012209018435	0	7.00598826885697	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Add1	0	3.00109916954915	0	0	3.00109916954915	0	3.00109916954915	0	2.00048844025395	0	0	0	1.00012209018435	1.00012209018435	1.00012209018435	0	0	0	1.00012209018435	0	1.00012209018435	0	2.00048844025395	0	0	0	0	1.00012209018435	1.00012209018435	0	1.00012209018435	1.00012209018435	3.00109916954915	0	2.00048844025395	0	0	0	1.00012209018435	0	2.00048844025395	1.00012209018435	4.00195439749781	0	0	0	0	3.00109916954915	0	3.00109916954915	1.00012209018435	0	1.00012209018435	0	2.00048844025395	3.00109916954915	0	2.00048844025395	1.00012209018435	1.00012209018435	0	1.00012209018435	0	0	7.00598826885697	0	0	1.00012209018435	0	0	0	1.00012209018435	0	1.00012209018435	1.00012209018435	1.00012209018435	0	2.00048844025395	2.00048844025395	3.00109916954915
Add2	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	3.00109916954915	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	2.00048844025395	0	0	0	0	0	1.00012209018435	0	0	0	2.00048844025395	0	0	0	0	4.00195439749781	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.00305424361532	0	0	1.00012209018435	0	0	0	2.00048844025395	0	0	0	0	0	0	0	2.00048844025395
Adgrf5	0	5.00305424361532	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.00598826885697	0	0	0	0	0	0	1.00012209018435	0	5.00305424361532	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.00109916954915	0	0	0	0	0	2.00048844025395	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Adgrl2	0	2.00048844025395	0	0	0	0	3.00109916954915	0	1.00012209018435	1.00012209018435	1.00012209018435	0	0	0	1.00012209018435	1.00012209018435	0	1.00012209018435	0	0	1.00012209018435	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	1.00012209018435	0	2.00048844025395	0	0	1.00012209018435	0	0	0	5.00305424361532	0	0	0	0	0	0	1.00012209018435	0	0	0	1.00012209018435	0	2.00048844025395	0	2.00048844025395	0	1.00012209018435	1.00012209018435	2.00048844025395	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	1.00012209018435	0	0
Adgrl4	0	0	0	0	0	0	4.00195439749781	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.00305424361532	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.00305424361532	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Adh1	3.00109916954915	0	0	0	0	2.00048844025395	0	0	0	1.00012209018435	6.00439882750478	0	0	0	1.00012209018435	7.00598826885697	1.00012209018435	0	0	0	0	0	1.00012209018435	1.00012209018435	0	0	0	0	0	0	0	0	0	0	3.00109916954915	0	1.00012209018435	0	0	0	3.00109916954915	0	0	0	1.00012209018435	0	0	0	1.00012209018435	0	0	3.00109916954915	1.00012209018435	0	0	0	1.00012209018435	0	3.00109916954915	1.00012209018435	3.00109916954915	3.00109916954915	10.0122269359159	3.00109916954915	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	1.00012209018435	0	0	0
Adipor1	0	1.00012209018435	2.00048844025395	0	1.00012209018435	1.00012209018435	1.00012209018435	0	0	0	0	1.00012209018435	0	0	1.00012209018435	1.00012209018435	0	0	3.00109916954915	0	0	3.00109916954915	0	0	0	0	0	0	1.00012209018435	1.00012209018435	0	0	0	4.00195439749781	0	2.00048844025395	0	1.00012209018435	0	0	0	0	1.00012209018435	0	0	0	0	1.00012209018435	1.00012209018435	6.00439882750478	0	1.00012209018435	0	1.00012209018435	0	1.00012209018435	0	0	0	0	0	0	0	2.00048844025395	6.00439882750478	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	5.00305424361532	0
Adra2a	0	0	0	0	0	0	0	0	0	3.00109916954915	0	0	0	0	1.00012209018435	1.00012209018435	2.00048844025395	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	9.00990220315199	0	0	0	0	1.00012209018435	4.00195439749781	0	0	2.00048844025395	0	0	0	0	1.00012209018435	0	0	0	0	1.00012209018435	0	3.00109916954915	0	0	3.00109916954915	0	0	0	0
Aebp1	3.00109916954915	0	0	0	0	0	0	0	0	2.00048844025395	1.00012209018435	0	0	0	0	2.00048844025395	0	0	0	0	1.00012209018435	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	2.00048844025395	0	0	1.00012209018435	0	0	2.00048844025395	0	0	2.00048844025395	1.00012209018435	0	0	0	0	0	0	1.00012209018435	1.00012209018435	4.00195439749781	0	0	2.00048844025395	1.00012209018435	1.00012209018435	0	0	1.00012209018435	1.00012209018435	11.0147970057849	0	0	0	0	0	0	0	0	0	0	0	2.00048844025395	0	0	0	0
Afap1l1	0	1.00012209018435	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	1.00012209018435	0	0	0	0	1.00012209018435	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	5.00305424361532	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aff4	0	2.00048844025395	0	0	0	1.00012209018435	0	0	1.00012209018435	0	3.00109916954915	0	0	1.00012209018435	1.00012209018435	0	1.00012209018435	0	0	0	1.00012209018435	3.00109916954915	1.00012209018435	0	0	0	0	0	1.00012209018435	1.00012209018435	0	3.00109916954915	0	0	1.00012209018435	0	5.00305424361532	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.00048844025395	0	0	1.00012209018435	0	1.00012209018435	1.00012209018435	0	5.00305424361532	0	1.00012209018435	0	2.00048844025395	0	0	1.00012209018435	0	0	0	1.00012209018435	0	0	0	1.00012209018435	0	0	0
