GENEID	X7	X8	X13	X14	X15	X16	X21	X22	X23	X24	X29	X30	X31	X32	X40	X44	X47	X48	X49	X56	X63	X64	X65	X68	X71	X72	X76	X78	X79	X80	X87	X88	X94	X96
AI607873	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.00048844025395	0	1.00012209018435	0	1.00012209018435	0	0	0	0	0	0	0	11.0147970057849	1.00012209018435	1.00012209018435	0	0
Aamp	0	0	0	0	1.00012209018435	1.00012209018435	0	0	4.00195439749781	0	1.00012209018435	0	1.00012209018435	0	1.00012209018435	0	1.00012209018435	0	0	2.00048844025395	5.00305424361532	0	0	1.00012209018435	0	2.00048844025395	3.00109916954915	0	1.00012209018435	4.00195439749781	0	1.00012209018435	0	0
Aars	0	0	1.00012209018435	0	0	0	0	0	0	0	4.00195439749781	0	0	0	0	0	2.00048844025395	3.00109916954915	0	9.00990220315199	4.00195439749781	2.00048844025395	2.00048844025395	0	0	1.00012209018435	2.00048844025395	2.00048844025395	5.00305424361532	2.00048844025395	0	1.00012209018435	0	1.00012209018435
Abca1	0	0	0	0	14.0239804397716	1.00012209018435	0	1.00012209018435	1.00012209018435	2.00048844025395	5.00305424361532	0	2.00048844025395	6.00439882750478	2.00048844025395	0	2.00048844025395	0	0	0	1.00012209018435	0	0	8.00782268745052	0	1.00012209018435	3.00109916954915	0	3.00109916954915	0	1.00012209018435	2.00048844025395	2.00048844025395	2.00048844025395
Abca8a	0	1.00012209018435	0	0	0	0	0	0	7.00598826885697	0	1.00012209018435	0	2.00048844025395	1.00012209018435	0	1.00012209018435	0	2.00048844025395	0	1.00012209018435	1.00012209018435	0	0	0	0	0	13.0206736374495	0	0	1.00012209018435	2.00048844025395	4.00195439749781	2.00048844025395	0
Abcc9	3.00109916954915	0	0	0	0	0	0	2.00048844025395	0	1.00012209018435	2.00048844025395	2.00048844025395	2.00048844025395	1.00012209018435	5.00305424361532	0	3.00109916954915	3.00109916954915	0	13.0206736374495	2.00048844025395	0	4.00195439749781	0	2.00048844025395	3.00109916954915	7.00598826885697	0	5.00305424361532	6.00439882750478	0	6.00439882750478	0	0
Abhd4	0	0	0	0	5.00305424361532	0	0	0	2.00048844025395	3.00109916954915	0	0	0	1.00012209018435	3.00109916954915	0	0	0	0	1.00012209018435	3.00109916954915	0	0	0	1.00012209018435	0	0	0	1.00012209018435	1.00012209018435	1.00012209018435	1.00012209018435	0	1.00012209018435
Abi1	0	0	0	0	0	0	2.00048844025395	1.00012209018435	0	1.00012209018435	2.00048844025395	0	1.00012209018435	1.00012209018435	1.00012209018435	0	0	0	0	0	1.00012209018435	0	1.00012209018435	0	0	3.00109916954915	2.00048844025395	1.00012209018435	8.00782268745052	1.00012209018435	0	3.00109916954915	0	0
Acin1	0	3.00109916954915	0	1.00012209018435	1.00012209018435	1.00012209018435	0	1.00012209018435	1.00012209018435	0	0	0	1.00012209018435	0	0	0	1.00012209018435	2.00048844025395	0	7.00598826885697	0	1.00012209018435	0	0	2.00048844025395	0	0	0	0	0	1.00012209018435	1.00012209018435	0	3.00109916954915
Acta2	0	0	1.00012209018435	1.00012209018435	0	4.00195439749781	5.00305424361532	2.00048844025395	0	0	3.00109916954915	0	0	0	14.0239804397716	0	4.00195439749781	8.00782268745052	0	41.2065798956254	0	1.00012209018435	1.00012209018435	1.00012209018435	5.00305424361532	2.00048844025395	0	0	33.1336529167031	3.00109916954915	0	0	0	0
Actb	2.00048844025395	9.00990220315199	4.00195439749781	5.00305424361532	28.0961415204583	20.048987655079	19.0442041347699	48.283466760365	23.0648179545339	20.048987655079	21.0540177177831	9.00990220315199	14.0239804397716	22.0592944438992	22.0592944438992	0	54.3591168236642	40.1965934523377	0	39.186855988824	17.0353762377124	33.1336529167031	26.0828704059517	8.00782268745052	16.0313316193744	25.0766058142306	20.048987655079	1.00012209018435	66.5375202452072	33.1336529167031	0	26.0828704059517	3.00109916954915	28.0961415204583
Actg1	2.00048844025395	2.00048844025395	2.00048844025395	3.00109916954915	23.0648179545339	3.00109916954915	5.00305424361532	10.0122269359159	10.0122269359159	1.00012209018435	17.0353762377124	3.00109916954915	21.0540177177831	12.0176125328898	10.0122269359159	2.00048844025395	8.00782268745052	7.00598826885697	0	4.00195439749781	6.00439882750478	9.00990220315199	2.00048844025395	26.0828704059517	11.0147970057849	4.00195439749781	10.0122269359159	0	33.1336529167031	4.00195439749781	1.00012209018435	27.0893822675098	1.00012209018435	3.00109916954915
