GENEID	X23	X41	X47	X70	X79	X84	X92	X94
Arcn1	3.00109916954915	0	0	0	2.00048844025395	6.00439882750478	6.00439882750478	3.00109916954915
Arf4	0	2.00048844025395	0	0	0	6.00439882750478	8.00782268745052	2.00048844025395
Arf6	0	2.00048844025395	0	0	3.00109916954915	5.00305424361532	1.00012209018435	1.00012209018435
Arhgap27	0	0	0	0	5.00305424361532	0	0	2.00048844025395
Arhgap5	0	0	0	0	0	1.00012209018435	6.00439882750478	0
Arhgdia	0	7.00598826885697	0	1.00012209018435	2.00048844025395	3.00109916954915	2.00048844025395	4.00195439749781
Arhgef7	0	8.00782268745052	0	0	0	0	0	0
Arid5b	0	1.00012209018435	0	0	0	7.00598826885697	1.00012209018435	0
Arpc1b	0	9.00990220315199	0	1.00012209018435	4.00195439749781	3.00109916954915	6.00439882750478	3.00109916954915
Arpc2	0	8.00782268745052	0	0	1.00012209018435	5.00305424361532	6.00439882750478	1.00012209018435
Aspn	0	0	0	0	0	7.00598826885697	0	0
Atf3	0	0	1.00012209018435	0	0	8.00782268745052	3.00109916954915	0
Atf4	1.00012209018435	4.00195439749781	1.00012209018435	0	2.00048844025395	11.0147970057849	5.00305424361532	2.00048844025395
Atn1	0	1.00012209018435	0	1.00012209018435	0	0	5.00305424361532	0
Atp11a	0	0	0	1.00012209018435	0	0	5.00305424361532	1.00012209018435
Atp1a1	0	7.00598826885697	1.00012209018435	0	0	2.00048844025395	0	5.00305424361532
Atp1a2	0	0	0	0	0	9.00990220315199	6.00439882750478	2.00048844025395
Atp1b2	0	0	0	0	0	5.00305424361532	2.00048844025395	0
Atp2a2	0	0	0	0	1.00012209018435	0	6.00439882750478	0
Atp5a1	0	0	0	0	3.00109916954915	8.00782268745052	1.00012209018435	6.00439882750478
Atp5g1	0	0	0	0	0	5.00305424361532	0	1.00012209018435
Atp6ap1	1.00012209018435	5.00305424361532	0	0	1.00012209018435	2.00048844025395	1.00012209018435	0
Atrx	0	2.00048844025395	2.00048844025395	0	5.00305424361532	1.00012209018435	3.00109916954915	7.00598826885697
Atxn7l3b	0	0	0	0	0	7.00598826885697	3.00109916954915	0
Azin1	0	6.00439882750478	0	1.00012209018435	2.00048844025395	0	2.00048844025395	0
B2m	5.00305424361532	39.186855988824	0	7.00598826885697	1.00012209018435	6.00439882750478	32.1256548803621	31.1179048445245
B4galt4	1.00012209018435	5.00305424361532	0	0	0	0	0	1.00012209018435
BC051077	0	3.00109916954915	1.00012209018435	0	1.00012209018435	8.00782268745052	2.00048844025395	6.00439882750478
Bag6	0	2.00048844025395	0	0	0	5.00305424361532	1.00012209018435	0
Bcl10	0	0	1.00012209018435	0	0	0	5.00305424361532	0
Bgn	2.00048844025395	1.00012209018435	0	6.00439882750478	1.00012209018435	11.0147970057849	16.0313316193744	0
Bhlhe40	0	1.00012209018435	0	0	0	4.00195439749781	9.00990220315199	1.00012209018435
Bicc1	0	0	0	0	0	2.00048844025395	5.00305424361532	0
Birc3	0	1.00012209018435	1.00012209018435	0	0	6.00439882750478	5.00305424361532	1.00012209018435
Bmpr2	0	8.00782268745052	0	2.00048844025395	0	0	1.00012209018435	2.00048844025395
Bnip3l	0	2.00048844025395	0	1.00012209018435	0	6.00439882750478	2.00048844025395	0
Btf3	1.00012209018435	0	0	2.00048844025395	2.00048844025395	2.00048844025395	6.00439882750478	1.00012209018435
Btg1	0	1.00012209018435	0	2.00048844025395	1.00012209018435	15.0275330602518	1.00012209018435	2.00048844025395
Btg2	1.00012209018435	0	4.00195439749781	1.00012209018435	0	9.00990220315199	23.0648179545339	0
C1ra	1.00012209018435	0	0	0	0	6.00439882750478	10.0122269359159	1.00012209018435
C1s1	0	0	1.00012209018435	1.00012209018435	0	9.00990220315199	9.00990220315199	0
C3	15.0275330602518	0	0	11.0147970057849	0	19.0442041347699	52.332898627509	1.00012209018435
C4a	3.00109916954915	0	0	1.00012209018435	0	5.00305424361532	5.00305424361532	0
Cacna1c	1.00012209018435	0	0	0	0	3.00109916954915	5.00305424361532	0
