GENEID	X97	X99	X100	X101	X102	X103	X107	X109	X111	X113	X114	X116	X118	X119	X120	X121	X124	X125	X126	X128	X131	X134	X136	X139	X140	X141	X144	X147	X150	X153	X155	X156	X158	X159	X160	X162	X165	X166	X167	X168	X173	X176	X180	X186	X188	X189
Actr1a	0	0	0	0	3.00109916954915	2.00048844025395	0	0	0	0	1.00012209018435	0	0	2.00048844025395	0	0	5.00305424361532	0	0	0	0	0	2.00048844025395	0	0	0	0	0	1.00012209018435	0	2.00048844025395	0	0	1.00012209018435	0	1.00012209018435	0	0	0	0	1.00012209018435	0	1.00012209018435	0	0	1.00012209018435
Actr3	0	0	1.00012209018435	0	0	0	1.00012209018435	0	0	0	0	0	0	1.00012209018435	0	0	2.00048844025395	0	1.00012209018435	0	0	1.00012209018435	0	1.00012209018435	0	0	1.00012209018435	0	2.00048844025395	1.00012209018435	7.00598826885697	0	0	0	0	0	0	0	0	0	0	1.00012209018435	1.00012209018435	1.00012209018435	0	0
Adamts1	0	1.00012209018435	0	3.00109916954915	0	0	2.00048844025395	0	0	4.00195439749781	0	5.00305424361532	1.00012209018435	0	11.0147970057849	1.00012209018435	0	0	9.00990220315199	12.0176125328898	3.00109916954915	0	1.00012209018435	3.00109916954915	1.00012209018435	6.00439882750478	0	0	1.00012209018435	9.00990220315199	14.0239804397716	0	0	0	9.00990220315199	0	0	0	3.00109916954915	1.00012209018435	0	0	2.00048844025395	1.00012209018435	3.00109916954915	1.00012209018435
Adamts4	0	0	0	0	0	0	0	0	0	0	0	8.00782268745052	0	1.00012209018435	0	2.00048844025395	4.00195439749781	0	0	1.00012209018435	0	0	1.00012209018435	0	0	1.00012209018435	0	0	0	5.00305424361532	4.00195439749781	0	0	0	6.00439882750478	0	0	0	4.00195439749781	0	0	0	0	1.00012209018435	0	0
Adcy4	0	0	0	0	0	0	0	0	0	0	0	0	0	2.00048844025395	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	5.00305424361532	0	0	0	0	0	0	0	0	0	0	2.00048844025395	0	0	0	0
Adgrl4	0	0	0	0	0	2.00048844025395	0	0	0	0	1.00012209018435	0	0	1.00012209018435	1.00012209018435	0	0	0	0	3.00109916954915	2.00048844025395	0	0	0	0	2.00048844025395	0	0	0	0	7.00598826885697	0	1.00012209018435	0	0	0	0	0	0	0	0	2.00048844025395	0	0	0	0
Adh1	2.00048844025395	1.00012209018435	0	0	1.00012209018435	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.00048844025395	0	0	0	0	0	4.00195439749781	0	0	0	0	0	1.00012209018435	0	7.00598826885697	0
Aebp1	10.0122269359159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.00048844025395	1.00012209018435	0	5.00305424361532	1.00012209018435	1.00012209018435	0	0	0	0	0	2.00048844025395	0	0	0	0	0	0	2.00048844025395	0	0	0	0	0	2.00048844025395	0	2.00048844025395	0
Agtr1a	0	0	0	0	0	0	0	0	0	1.00012209018435	3.00109916954915	0	0	0	0	8.00782268745052	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ahnak	6.00439882750478	0	0	0	2.00048844025395	0	0	0	0	1.00012209018435	0	1.00012209018435	1.00012209018435	0	0	1.00012209018435	3.00109916954915	0	1.00012209018435	1.00012209018435	1.00012209018435	0	3.00109916954915	0	1.00012209018435	0	0	0	1.00012209018435	1.00012209018435	6.00439882750478	0	0	0	9.00990220315199	5.00305424361532	1.00012209018435	0	1.00012209018435	0	0	2.00048844025395	1.00012209018435	0	0	0
Aig1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.00305424361532	0	0	0	0	0	0	0	0	0	0	0	2.00048844025395	0	0	0	1.00012209018435	1.00012209018435	0	1.00012209018435	0	0	0	1.00012209018435	0	0	0	0	0	0
