GENEID	X3	X7	X14	X22	X36	X39	X41	X46	X47	X48	X50	X61	X62	X64	X65	X70	X72	X73	X74	X78	X80	X81	X84	X92	X94
Cbx6	1.00012209018435	6.00439882750478	0	0	0	0	0	0	0	0	0	0	1.00012209018435	5.00305424361532	0	3.00109916954915	0	0	0	0	0	0	0	3.00109916954915	4.00195439749781
Ccar1	0	5.00305424361532	0	0	0	0	1.00012209018435	0	0	0	0	0	0	2.00048844025395	0	4.00195439749781	0	0	0	0	0	0	0	0	0
Ccdc80	0	3.00109916954915	0	0	0	0	0	0	0	3.00109916954915	2.00048844025395	0	0	1.00012209018435	7.00598826885697	1.00012209018435	1.00012209018435	0	2.00048844025395	0	1.00012209018435	0	0	4.00195439749781	5.00305424361532
Ccl11	0	1.00012209018435	9.00990220315199	0	0	0	0	0	0	1.00012209018435	6.00439882750478	0	0	1.00012209018435	5.00305424361532	9.00990220315199	7.00598826885697	0	0	12.0176125328898	2.00048844025395	1.00012209018435	0	1.00012209018435	1.00012209018435
Ccl19	1.00012209018435	4.00195439749781	0	0	1.00012209018435	0	1.00012209018435	1.00012209018435	2.00048844025395	5.00305424361532	0	0	2.00048844025395	0	2.00048844025395	13.0206736374495	12.0176125328898	0	10.0122269359159	2.00048844025395	4.00195439749781	0	0	2.00048844025395	0
Ccl2	2.00048844025395	1.00012209018435	3.00109916954915	0	0	1.00012209018435	0	2.00048844025395	7.00598826885697	31.1179048445245	11.0147970057849	0	1.00012209018435	10.0122269359159	21.0540177177831	16.0313316193744	1.00012209018435	9.00990220315199	42.2168154415037	63.4895230811159	0	0	0	29.1031482864402	0
Ccl7	1.00012209018435	1.00012209018435	11.0147970057849	0	0	0	1.00012209018435	0	13.0206736374495	18.0396670359275	0	0	1.00012209018435	6.00439882750478	4.00195439749781	0	1.00012209018435	11.0147970057849	7.00598826885697	14.0239804397716	0	0	0	0	0
Ccnd1	0	1.00012209018435	0	0	0	0	0	0	0	0	2.00048844025395	1.00012209018435	0	0	0	0	7.00598826885697	0	0	0	0	0	0	0	0
Ccnd2	0	2.00048844025395	0	0	0	1.00012209018435	2.00048844025395	0	1.00012209018435	0	4.00195439749781	0	0	6.00439882750478	0	2.00048844025395	1.00012209018435	0	0	1.00012209018435	0	0	2.00048844025395	0	0
Ccnl1	0	8.00782268745052	10.0122269359159	1.00012209018435	0	1.00012209018435	1.00012209018435	0	0	0	2.00048844025395	5.00305424361532	1.00012209018435	0	4.00195439749781	5.00305424361532	2.00048844025395	0	1.00012209018435	1.00012209018435	1.00012209018435	1.00012209018435	0	4.00195439749781	0
Ccr7	0	0	0	0	0	5.00305424361532	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.00439882750478	0	0
Cct6a	0	6.00439882750478	0	1.00012209018435	0	0	0	2.00048844025395	0	0	0	1.00012209018435	0	0	1.00012209018435	2.00048844025395	1.00012209018435	1.00012209018435	0	0	0	0	1.00012209018435	0	2.00048844025395
Cd164	0	2.00048844025395	1.00012209018435	0	0	0	0	0	1.00012209018435	0	3.00109916954915	0	3.00109916954915	0	1.00012209018435	5.00305424361532	0	0	0	0	0	0	2.00048844025395	0	1.00012209018435
Cd34	0	0	0	0	0	0	0	0	0	0	0	5.00305424361532	0	0	0	0	0	0	0	0	0	0	0	0	0
Cd44	0	3.00109916954915	2.00048844025395	0	0	1.00012209018435	0	1.00012209018435	1.00012209018435	0	0	0	0	1.00012209018435	1.00012209018435	0	6.00439882750478	1.00012209018435	1.00012209018435	2.00048844025395	0	0	0	0	0
