"Cluster"	"GENEID"	"mean.ncl"	"mean.cl"	"fc"	"pv"	"padj"	"Ensembl ID"	"GNF GeneAtlas Specificity"	"calculated FPKMs"	"X5"	"X6"	"X7"	"X8"	"X9"	"X10"	"CuffDiff FPKMs"	"X12"	"X13"	"X14"	"X15"	"X16"	"X17"
"60"	"1"	"Mmp3"	0.260948959871356	0.1	0.383216702796205	0.00300684188967524	0.0123011248053729	"ENSMUSG00000043613"	"TRE"	"0.003018074"	"1.949847217"	"0.002967536"	"1.893480875"	"0.031806562"	"1.249562149"	"0.019304075"	"0"	"1.54955"	"0"	"1.45205"	"0.00678414"	"0.950865"	"0.0075203"
"61"	"1"	"Mmp9"	0.390302364769963	0.907745414261626	2.3257492042013	4.34721185394183e-07	5.64725483016804e-06	"ENSMUSG00000017737"	"TRE"	"129.2080522"	"39.01363538"	"90.88657694"	"26.57945901"	"22.20867893"	"16.27672524"	"8.562105238"	"123.187"	"37.5383"	"83.6772"	"24.8777"	"20.6019"	"14.7509"	"7.77249"
"62"	"1"	"Mpz"	0.102369267653686	0.381594772616004	3.72763018982351	5.65442586439789e-08	9.33661523753893e-07	"ENSMUSG00000056569"	"TRE"	"0.042560754"	"4.975959701"	"0.298167553"	"4.346553933"	"0.364434598"	"2.721610756"	"0.401532332"	"0.0401482"	"5.31082"	"0.277356"	"4.41987"	"0.362602"	"2.90031"	"0.362635"
"63"	"1"	"Msc"	0.693922103220943	0.116144671728823	0.167374221385541	2.69630876477207e-10	6.78035075618371e-09	"ENSMUSG00000025930"	"TRE"	"31.99009556"	"28.9445134"	"31.37984312"	"39.22258862"	"53.46613607"	"40.89266975"	"56.07571851"	"31.6708"	"28.4493"	"28.9115"	"37.9634"	"49.9688"	"38.7902"	"52.361"
"64"	"1"	"Mustn1"	0.302511298855579	0.1	0.330566165225256	0.000561727180078445	0.00296665549247595	"ENSMUSG00000042485"	"TRE"	"0.138313411"	"1.94061028"	"0.117864382"	"2.483276163"	"0.12147026"	"1.808907225"	"0.188730546"	"0.115622"	"1.73028"	"0.087938"	"2.2717"	"0.102991"	"1.5702"	"0.184591"
"65"	"1"	"Ngfr"	0.370872744410264	0.724281054531342	1.95290990089618	0.00012322722152072	0.000838128571186834	"ENSMUSG00000000120"	"TRE"	"5.526667927"	"8.494976178"	"19.80932041"	"5.559272533"	"2.697629128"	"5.233221813"	"2.670267299"	"5.43233"	"8.26435"	"18.4296"	"5.37259"	"2.52085"	"4.86971"	"2.47595"
"66"	"1"	"Nov"	0.176893250096601	0.375984740530542	2.12548947076962	0.000793304064425405	0.00392499357507226	"ENSMUSG00000037362"	"TRE"	"0.065537853"	"6.383855435"	"16.70088791"	"7.188537978"	"0.647827275"	"5.079897385"	"1.113969864"	"0.0687335"	"6.10986"	"15.2396"	"6.80974"	"0.57107"	"4.52397"	"0.980027"
"67"	"1"	"Oaf"	0.181168202279629	0.366659128659195	2.02386028036678	0.00202389714251238	0.00870379321564307	"ENSMUSG00000032014"	"TRE"	"5.372867244"	"5.163596964"	"2.787129336"	"5.257919213"	"3.204220702"	"4.607872096"	"3.613497076"	"5.15825"	"4.90315"	"2.52675"	"4.993"	"2.89988"	"4.17343"	"3.24472"
"68"	"1"	"Pcdh10"	0.102279237631649	0.276852609657835	2.70683098611761	0.000131159235043286	0.000886921487997851	"ENSMUSG00000049100"	"TRE"	"0.089353258"	"2.813947322"	"0.226943961"	"2.964340379"	"0.932883544"	"2.636541969"	"1.077027419"	"0.171408"	"6.12732"	"0.460088"	"6.59797"	"2.0205"	"5.94431"	"2.32784"
"69"	"1"	"Pcdh15"	0.379714109448143	0.0999999999999998	0.263356028948555	4.61607497660548e-05	0.000366292506819382	"ENSMUSG00000052613"	"TRE"	"1.130182826"	"3.055282484"	"0.919984267"	"2.532369299"	"4.021925253"	"2.278291916"	"3.471310098"	"1.94117"	"5.6156"	"1.64638"	"4.58613"	"7.71964"	"4.65468"	"6.88791"
